3364,40,1,
4858,40,1,
2899,38,1,
739,64,1,
2067,69,1,
768,38,1,
2415,52,1,
275,53,1,
2524,36,1,
658,51,1,
4780,26,1,
4564,40,1,
796,52,1,
1267,62,1,
3842,39,1,
1045,64,1,
4607,41,1,
2369,38,1,
3254,62,1,
2654,54,1,
1916,55,1,
93,34,1,
1262,41,1,
1108,55,1,
1104,67,1,
982,26,1,
4663,51,1,
4007,68,1,
3475,68,1,
3218,35,1,
1499,36,1,
1022,64,1,
449,38,1,
3214,41,1,
3285,47,1,
1215,63,1,
1189,34,1,
323,49,1,
4146,73,1,
4232,63,1,
2906,60,1,
4374,41,1,
137,66,1,
4793,51,1,
3323,52,1,
285,26,1,
3593,62,1,
4371,49,1,
1061,67,1,
2733,35,1,
3129,46,1,
2964,68,1,
1629,26,1,
4488,67,1,
2323,75,1,
637,52,1,
1928,60,1,
2401,41,1,
93,73,1,
2265,34,1,
3112,41,1,
3046,49,1,
2122,50,1,
2298,49,1,
4376,41,1,
3461,51,1,
686,38,1,
4149,39,1,
3777,75,1,
2101,40,1,
1858,54,1,
2319,62,1,
84,68,1,
3123,39,1,
180,60,1,
2633,62,1,
4866,68,1,
3425,60,1,
2828,49,1,
2608,54,1,
3234,66,1,
4473,46,1,
4094,48,1,
213,73,1,
2090,55,1,
2673,53,1,
863,63,1,
4361,53,1,
3962,62,1,
1774,39,1,
4827,64,1,
2216,41,1,
1804,75,1,
2066,62,1,
4270,49,1,
2450,63,1,
4106,49,1,
151,62,1,
2053,62,1,
356,46,1,
2706,53,1,
687,55,1,
3179,40,1,
1454,26,1,
3035,35,1,
2239,66,1,
857,52,1,
3309,46,1,
1781,50,1,
2263,73,1,
4994,47,1,
1819,66,1,
4919,64,1,
1162,67,1,
4932,47,1,
1247,53,1,
941,48,1,
3101,39,1,
4732,26,1,
4889,73,1,
3338,52,1,
2670,40,1,
4413,50,1,
4340,62,1,
1508,49,1,
1186,60,1,
4787,41,1,
208,66,1,
4221,62,1,
2297,62,1,
511,36,1,
4956,39,1,
3770,63,1,
1378,62,1,
128,66,1,
2373,48,1,
1850,36,1,
248,60,1,
84,47,1,
4110,36,1,
1561,49,1,
4000,73,1,
1667,35,1,
2186,53,1,
2958,49,1,
2076,54,1,
3053,49,1,
2560,26,1,
4597,34,1,
504,54,1,
2262,47,1,
714,54,1,
1134,62,1,
4320,63,1,
4210,62,1,
1255,50,1,
930,47,1,
4799,66,1,
1310,60,1,
4844,34,1,
2572,49,1,
3482,38,1,
3140,38,1,
4076,38,1,
2045,40,1,
4303,75,1,
1485,50,1,
441,53,1,
4251,53,1,
2503,38,1,
2902,69,1,
3659,36,1,
4942,46,1,
4477,48,1,
916,62,1,
4968,48,1,
2237,62,1,
197,49,1,
4707,39,1,
3297,49,1,
2328,49,1,
4789,34,1,
70,60,1,
2001,68,1,
2118,41,1,
178,35,1,
150,36,1,
1612,48,1,
3881,52,1,
1600,68,1,
1986,47,1,
4651,67,1,
4433,60,1,
3806,69,1,
2522,34,1,
1227,46,1,
825,48,1,
3156,34,1,
970,62,1,
4345,73,1,
1432,35,1,
1763,36,1,
4421,48,1,
3093,49,1,
2897,35,1,
1960,52,1,
4381,51,1,
4083,62,1,
51,26,1,
1095,34,1,
4709,50,1,
3562,46,1,
4501,62,1,
471,38,1,
810,40,1,
4029,68,1,
70,38,1,
4492,62,1,
2576,26,1,
1695,51,1,
314,35,1,
4531,55,1,
3041,48,1,
2584,69,1,
1969,51,1,
419,64,1,
271,50,1,
4363,48,1,
1688,48,1,
658,66,1,
559,50,1,
905,50,1,
2388,39,1,
3265,69,1,
4455,49,1,
3746,53,1,
3002,48,1,
4833,52,1,
1234,54,1,
4418,67,1,
3011,40,1,
2220,40,1,
3652,60,1,
745,62,1,
4071,73,1,
363,68,1,
4248,35,1,
2442,75,1,
557,49,1,
151,34,1,
1951,38,1,
526,46,1,
4665,48,1,
3196,64,1,
3412,48,1,
4755,73,1,
2115,35,1,
3170,62,1,
4612,39,1,
4597,64,1,
1589,47,1,
4436,36,1,
3543,51,1,
360,75,1,
3424,63,1,
3539,60,1,
967,52,1,
3934,48,1,
1089,62,1,
687,62,1,
128,48,1,
2695,35,1,
2145,49,1,
2735,47,1,
1876,50,1,
246,38,1,
2473,60,1,
1315,62,1,
2403,39,1,
1800,46,1,
2136,35,1,
781,48,1,
1986,66,1,
2125,34,1,
3645,60,1,
2661,69,1,
3645,63,1,
634,35,1,
2109,35,1,
2548,68,1,
56,63,1,
2451,52,1,
1859,39,1,
3445,50,1,
2302,46,1,
4945,39,1,
4691,68,1,
1108,67,1,
3487,50,1,
4990,69,1,
2892,60,1,
1626,69,1,
801,26,1,
4225,68,1,
2721,47,1,
856,55,1,
2186,55,1,
1919,41,1,
1880,34,1,
4170,69,1,
2634,40,1,
1674,67,1,
4995,62,1,
1269,67,1,
4039,49,1,
2570,38,1,
4341,36,1,
2950,34,1,
4882,35,1,
3857,48,1,
1800,47,1,
1044,46,1,
2497,39,1,
1434,53,1,
2683,60,1,
3380,50,1,
333,40,1,
4700,55,1,
4305,67,1,
